          x_f      vx_f       y_f      vy_f
 5.615832e-02  5.075932 -0.020838 -1.731119
-1.242079e-02 -1.305181 -0.041139 -4.015586
 3.500578e-02  3.495117 -0.024318 -2.482354
 8.746193e-03  0.987749 -0.029707 -3.498213
 2.975107e-02  2.851403  0.001825  0.261284
-2.868985e-03 -0.355700 -0.041414 -4.290689
 4.362822e-02  4.185089 -0.012908 -1.337170
-3.223815e-05 -0.001539 -0.048395 -3.906587
 1.858798e-02  1.514990 -0.050029 -4.222784
 4.037669e-02  3.616873 -0.011320 -1.029250
-6.291859e-02 -4.598979  0.003625  0.324284
-3.005038e-02 -2.122977 -0.047950 -3.450073
-1.570736e-02 -1.664099  0.037499  3.985651
 4.167285e-03  0.341400 -0.053094 -4.439500
 4.353723e-02  4.233307 -0.001326 -0.267218
 4.111698e-02  3.787661 -0.006882 -0.473719
 4.230305e-02  3.898279  0.003085  0.255924
 2.908488e-02  3.212081 -0.004729 -0.236718
 3.931767e-02  3.811018 -0.026222 -2.667546
 3.163646e-02  3.442511 -0.016897 -1.916968
 4.925077e-02  3.660833  0.025057  1.830649
-4.494306e-03 -0.540281  0.030491  3.660209
 4.474095e-03  0.321535  0.055964  4.119011
 2.270018e-02  2.228388 -0.041945 -4.198511
 3.807460e-02  3.705044  0.010194  0.955025
-8.422530e-03 -0.807996  0.036574  3.746658
 3.262132e-03  0.303247  0.037718  3.563304
 4.168159e-02  3.948441  0.027927  2.528892
-2.133616e-02 -2.452650  0.017704  2.108467
 2.444381e-02  1.959202 -0.030595 -2.691915
 3.068519e-02  3.103000  0.024587  2.567807
-3.981578e-03 -0.329898 -0.044774 -3.896872
-9.076238e-03 -0.941395  0.037811  3.958502
 3.462777e-02  3.379508 -0.026509 -2.710883
 3.165900e-02  2.762201 -0.036247 -3.280919
-2.082860e-02 -1.682829  0.053693  4.903023
-4.152049e-02 -3.646171  0.018502  1.551432
 5.960725e-02  4.959890 -0.000814 -0.067758
 4.202369e-03  0.471669 -0.034545 -3.830165
-3.644270e-02 -3.616383  0.012316  1.562091
-6.434000e-02 -5.029592  0.036561  2.919350
 5.934890e-02  3.785090 -0.024117 -1.504730
-2.205392e-02 -1.740698  0.057461  4.221523
 4.529204e-02  3.354412  0.040150  3.535121
 4.200009e-02  3.871180 -0.011462 -1.087536
 5.080765e-02  4.092788  0.001795  0.065064
-2.443272e-02 -2.182684 -0.036686 -3.163035
-3.919311e-02 -3.807719 -0.002582 -0.235490
-1.701020e-03 -0.156037  0.036635  4.001538
 3.655266e-02  3.581187  0.017020  1.693052
 2.164479e-02  1.675882 -0.053066 -4.146740
-4.269333e-02 -3.391414 -0.031774 -2.892928
-2.271304e-02 -2.216095  0.034748  3.338739
-2.435299e-02 -2.632820  0.028392  3.121329
-8.410343e-03 -1.000055 -0.053921 -4.446948
 3.488391e-02  3.750906  0.000799  0.067947
 3.732413e-02  3.422955 -0.045542 -4.092654
-1.780374e-02 -1.755749 -0.026051 -2.873625
 1.150250e-02  0.983017 -0.049405 -4.675759
-2.625209e-02 -2.638564 -0.042213 -3.959941
 4.196244e-02  3.747343  0.008574  0.744248
-3.330262e-03 -0.393914  0.048627  4.575239
 4.450669e-02  4.518580 -0.015566 -1.751279
-2.888584e-02 -2.391388  0.036894  3.094062
 6.247294e-02  5.465115  0.020689  1.757560
-4.166663e-02 -2.761535  0.046747  3.331895
-2.713198e-02 -2.940226  0.027209  2.938124
-2.557720e-02 -2.935599 -0.021982 -2.520577
 1.515839e-02  1.299751 -0.042806 -3.672522
-2.066056e-03 -0.303538 -0.021452 -2.711887
-1.888313e-02 -2.036117  0.031615  3.387836
 1.509491e-02  1.554092  0.034297  3.516713
 3.407354e-02  3.535460  0.017603  1.619405
 4.414841e-02  3.454211 -0.004270 -0.354067
 3.270748e-02  3.116120 -0.036357 -3.430332
-1.059270e-03  0.279177  0.078942  5.760939
 5.104679e-02  4.485291  0.001806  0.139995
-5.329493e-04 -0.072747  0.033290  3.758696
-1.346424e-03 -0.173325 -0.045911 -4.347015
-2.389564e-02 -2.406306  0.041898  3.612812
 3.553878e-02  2.976871  0.045543  3.463229
 7.519469e-03  0.796586  0.045751  3.938706
 4.685220e-02  4.457959  0.004784  0.419428
 4.687987e-02  4.086171  0.016301  1.463010
-3.713694e-02 -3.774739  0.026056  2.569808
-1.174884e-02 -1.273048 -0.033972 -3.700549
-3.065026e-02 -3.013553 -0.028934 -2.801946
-5.584233e-02 -3.949111 -0.016599 -1.149688
-1.665813e-02 -1.722787 -0.034047 -3.514250
 1.024202e-02  0.982571  0.042103  4.265465
-4.308113e-04  0.084035 -0.056667 -4.151836
 1.226163e-02  1.138809  0.048787  4.387594
-6.295481e-02 -4.969058  0.012555  1.238628
 3.771061e-03  0.392570  0.063228  5.307359
-5.318809e-02 -4.352689 -0.007775 -0.581060
-4.728770e-02 -3.946780  0.016723  1.457830
 8.935107e-03  1.289843 -0.038400 -3.645821
 8.980623e-03  0.859497 -0.046978 -4.514906
-2.721601e-02 -2.850310  0.025087  2.594885
-4.993080e-02 -4.622794 -0.014622 -1.325532
-3.403938e-02 -3.241692 -0.009792 -0.965057
-3.378054e-02 -3.120220  0.041874  3.927390
-2.960888e-02 -2.647763 -0.053551 -3.707052
-2.778877e-02 -2.695322  0.035862  3.595088
-1.638501e-02 -1.348363  0.048350  3.690390
-6.516370e-02 -4.097149  0.032021  1.542598
 7.871902e-03  0.684749 -0.049394 -4.414330
 2.586146e-02  2.649088 -0.016769 -1.497335
 3.554461e-02  3.130235 -0.018469 -1.496671
-3.909234e-04 -0.060343 -0.034252 -3.873930
 3.061738e-02  2.538280  0.032280  2.752910
-4.141863e-02 -3.957472  0.005781  0.563787
 4.420332e-02  3.839327 -0.004100 -0.370839
 4.633451e-03  0.373084 -0.047782 -3.877861
-8.690105e-04  0.020003  0.044366  3.660376
